Match,TeamInnings,Name,Runs,Balls,Fours,Sixes,Strike_Rate,pos,Out_or_Notout,MatchId
New Zealand Vs Australia,Australia,Mitchell Starc ,4,7,0,0,57.14,9,out,1839
New Zealand Vs Australia,Australia,Adam Zampa ,0,2,0,0,0.00,10,out,1839
New Zealand Vs Australia,Australia,Josh Hazlewood ,1,1,0,0,100.00,11,not out ,1839
Afghanistan Vs England,Afghanistan,Hazratullah Zazai ,7,17,1,0,41.17,1,out,1840
Afghanistan Vs England,Afghanistan,Rahmanullah Gurbaz ,10,9,0,1,111.11,2,out,1840
Afghanistan Vs England,Afghanistan,Ibrahim Zadran ,32,32,3,1,100.00,3,out,1840
Afghanistan Vs England,Afghanistan,Usman Ghani ,30,30,3,0,100.00,4,out,1840
Afghanistan Vs England,Afghanistan,Najibullah Zadran ,13,11,0,1,118.18,5,out,1840
Afghanistan Vs England,Afghanistan,Mohammad Nabi ,3,5,0,0,60.00,6,out,1840
Afghanistan Vs England,Afghanistan,Azmatullah Omarzai ,8,6,1,0,133.33,7,out,1840
Afghanistan Vs England,Afghanistan,Rashid Khan ,0,1,0,0,0.00,8,out,1840
Afghanistan Vs England,Afghanistan,Mujeeb Ur Rahman ,0,1,0,0,0.00,9,out,1840
Afghanistan Vs England,Afghanistan,Fareed Ahmad ,2,4,0,0,50.00,10,not out ,1840
Afghanistan Vs England,Afghanistan,Fazalhaq Farooqi ,0,2,0,0,0.00,11,out,1840
Afghanistan Vs England,England,Jos Buttler ,18,18,3,0,100.00,1,out,1840
Afghanistan Vs England,England,Alex Hales ,19,20,0,1,95.00,2,out,1840
Afghanistan Vs England,England,Dawid Malan ,18,30,0,0,60.00,3,out,1840
Afghanistan Vs England,England,Ben Stokes ,2,4,0,0,50.00,4,out,1840
Afghanistan Vs England,England,Liam Livingstone ,29,21,3,0,138.09,5,not out ,1840
Afghanistan Vs England,England,Harry Brook ,7,6,0,0,116.66,6,out,1840
Afghanistan Vs England,England,Moeen Ali ,8,10,0,0,80.00,7,not out ,1840
Ireland Vs Sri Lanka,Ireland,Paul Stirling ,34,25,4,1,136.00,1,out,1841
Ireland Vs Sri Lanka,Ireland,Andy Balbirnie ,1,5,0,0,20.00,2,out,1841
